Date,Time (UTC),Year,Vehicle,Payload,Payload Mass (kg),Orbit,Orbit Category
2022-12-11,07:38:00,2022,Falcon 9,Hakuto-R Mission 1[407]Emirates Lunar MissionLunar Flashlight[408],1000,Ballistic lunar transfer (BLT),BLT
2022-12-16,11:46:00,2022,Falcon 9,Surface Water and Ocean Topography (SWOT)[415],2200,LEO,LEO (Other)
2022-12-16,22:48:00,2022,Falcon 9,O3b mPOWER 1 & 2,4100,MEO,MEO
2022-12-17,21:32:00,2022,Falcon 9,Starlink: Group 4-37 (54 satellites),16700,LEO,LEO (Starlink)
2022-12-28,09:34:00,2022,Falcon 9,Starlink: Group 5-1) 5-1 (54 satellites),16700,LEO,LEO (Starlink)
2022-12-30,07:38:00,2022,Falcon 9,EROS-C3[424],400,Retrograde LEO,LEO (Other)
2023-01-03,14:56:00,2023,Falcon 9,Transporter-6 (115 payload smallsat rideshare),0,SSO,SSO (Other)
2023-01-10,04:50:00,2023,Falcon 9,OneWeb 16 (40 satellites),6000,Polar LEO,LEO (Other)
2023-01-15,22:56:00,2023,Falcon Heavy,USSF-67 (CBAS-2 & LDPE-3A),3750,GEO,GTO/GEO
2023-01-18,12:24:00,2023,Falcon 9,USA-343 (GPS-III SV06),4352,MEO,MEO
2023-01-19,15:43:00,2023,Falcon 9,Starlink: Group 2-4 (51 satellites),15000,LEO,LEO (Starlink)
2023-01-26,09:32:00,2023,Falcon 9,Starlink: Group 5-2 (56 satellites),17400,LEO,LEO (Starlink)
2023-01-31,16:15:00,2023,Falcon 9,Starlink: Group 2-6 (49 satellites),15200,LEO,LEO (Starlink)
2023-02-02,07:58:00,2023,Falcon 9,Starlink: Group 5-3 (53 satellites),16500,LEO,LEO (Starlink)
2023-02-07,01:32:00,2023,Falcon 9,Amazonas Nexus,4146,GTO,GTO/GEO
2023-02-12,05:10:00,2023,Falcon 9,Starlink: Group 5-4 (55 satellites),17100,LEO,LEO (Starlink)
2023-02-17,19:12:00,2023,Falcon 9,Starlink: Group 2-5 (51 satellites),15900,LEO,LEO (Starlink)
2023-02-18,03:59:00,2023,Falcon 9,Inmarsat-6 F2,5470,GTO,GTO/GEO
2023-02-27,23:13:00,2023,Falcon 9,Starlink: Group 6-1 (21 satellites),15300,LEO,LEO (Starlink)
2023-03-02,05:34:00,2023,Falcon 9,Crew-6 (Crew Dragon C206.4 Endeavour),13000,LEO (ISS),LEO (Other)
2023-03-03,18:38:00,2023,Falcon 9,Starlink: Group 2-7 (51 satellites),15900,LEO,LEO (Starlink)
2023-03-09,19:13:00,2023,Falcon 9,OneWeb 17 (40 satellites),6000,LEO,LEO (Other)
2023-03-15,00:30:00,2023,Falcon 9,SpaceX CRS-27 (Dragon C209.3),2852,LEO (ISS),LEO (Other)
2023-03-17,19:26:00,2023,Falcon 9,Starlink: Group 2-8 (52 satellites),16200,LEO,LEO (Starlink)
2023-03-17,23:38:00,2023,Falcon 9,SES-18 & SES-19,7000,GTO,GTO/GEO
2023-03-24,15:43:00,2023,Falcon 9,Starlink: Group 5-5 (56 satellites),17400,LEO,LEO (Starlink)
2023-03-29,20:01:00,2023,Falcon 9,Starlink: Group 5-10 (56 satellites),17400,LEO,LEO (Starlink)
2023-04-02,14:29:00,2023,Falcon 9,SDA Tranche 0A (10 satellites),0,LEO,LEO (Other)
2023-04-07,04:30:00,2023,Falcon 9,Intelsat 40e,5588,GTO,GTO/GEO
2023-04-15,06:47:00,2023,Falcon 9,Transporter-7 (51 payload smallsat rideshare),0,SSO,SSO (Other)
2023-04-19,14:31:00,2023,Falcon 9,Starlink: Group 6-2 (21 satellites),15300,LEO,LEO (Starlink)
2023-04-20,13:33:00,2023,Block 1 Starship,Starship Test,0,Transatmospheric[12],Transatmospheric
2023-04-27,13:40:00,2023,Falcon 9,Starlink: Group 3-5 (46 satellites),14100,SSO,SSO (Starlink)
2023-04-28,22:12:00,2023,Falcon 9,O3b mPOWER 3 & 4,4100,MEO,MEO
2023-05-01,00:26:00,2023,Falcon Heavy,ViaSat-3 Americas[87][88],6400,GEO,GTO/GEO
2023-05-04,07:31:00,2023,Falcon 9,Starlink: Group 5-6 (56 satellites),17400,LEO,LEO (Starlink)
2023-05-10,20:09:00,2023,Falcon 9,Starlink: Group 2-9 (51 satellites),15900,LEO,LEO (Starlink)
2023-05-14,05:03:00,2023,Falcon 9,Starlink: Group 5-9 (56 satellites),17400,LEO,LEO (Starlink)
2023-05-19,06:19:00,2023,Falcon 9,Starlink: Group 6-3 (22 satellites),16100,LEO,LEO (Starlink)
2023-05-20,13:16:00,2023,Falcon 9,Iridium-NEXT[98] (5 satellites)OneWeb (15 Gen1 plus a Gen2 test satellite)[99],6600,Polar LEO,LEO (Other)
2023-05-21,21:37:00,2023,Falcon 9,Ax-2 (Crew Dragon C212.2 Freedom),13000,LEO (ISS),LEO (Other)
2023-05-27,04:30:00,2023,Falcon 9,ArabSat 7B (Badr-8)[107],4500,GTO,GTO/GEO
2023-05-31,06:02:00,2023,Falcon 9,Starlink: Group 2-10 (52 satellites),16400,LEO,LEO (Starlink)
2023-06-04,12:20:00,2023,Falcon 9,Starlink: Group 6-4 (22 satellites),16100,LEO,LEO (Starlink)
2023-06-05,15:47:00,2023,Falcon 9,SpaceX CRS-28 (Dragon C208.4),3304,LEO (ISS),LEO (Other)
2023-06-12,07:10:00,2023,Falcon 9,Starlink: Group 5-11 (52 satellites),16400,LEO,LEO (Starlink)
2023-06-12,21:35:00,2023,Falcon 9,Transporter-8 (72 payload smallsat rideshare),0,SSO,SSO (Other)
2023-06-18,22:21:00,2023,Falcon 9,SATRIA[115],4580,GTO,GTO/GEO
